lakeid,year4,daynum,sampledate,sta,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
BM,1992,87,1992-03-27,1,4.3,955,1145,1,N,15,,0,1
BM,1992,87,1992-03-27,1,,,,,,,,,1
BM,1992,126,1992-05-05,1,4.9,1410,1625,17,N,4,7,0,
BM,1992,126,1992-05-05,1,,,,,,,,,
BM,1992,141,1992-05-20,1,7.2,915,1111,24,S,2,3,0,
BM,1992,155,1992-06-03,1,13.6,1515,1730,23,SW,4,7,75,
BM,1992,155,1992-06-03,1,,,,,,,,,
BM,1992,170,1992-06-18,1,8.2,1200,1331,16,NW,4,9,100,
BM,1992,190,1992-07-08,1,7.8,1125,1305,20,S,4,7,100,
BM,1992,190,1992-07-08,1,,,,,,,,,
BM,1992,196,1992-07-14,1,5.8,1145,1305,23,SSE,2,2,50,
BM,1992,212,1992-07-30,1,6.3,1300,1447,23,SW,1,0,55,
BM,1992,212,1992-07-30,1,,,,,,,,,
BM,1992,225,1992-08-12,1,5.4,955,1157,17,N,13,8,75,
BM,1992,225,1992-08-12,1,,,,,,,,,
BM,1992,238,1992-08-25,1,4.9,1520,1730,14,N,15,8,100,
BM,1992,238,1992-08-25,1,,,,,,,,,
BM,1992,253,1992-09-09,1,4.5,1415,1555,16.5,N,8,12,100,
BM,1992,253,1992-09-09,1,,,,,,,,,
BM,1992,267,1992-09-23,1,4,940,1140,12.5,W,15,10,15,
BM,1992,267,1992-09-23,1,,,,,,,,,
BM,1992,281,1992-10-07,1,5.4,948,1140,12,N,2,2,100,
BM,1992,281,1992-10-07,1,,,,,,,,,
BM,1992,293,1992-10-19,1,4.6,937,1205,3.5,SW,10,20,5,
BM,1992,293,1992-10-19,1,,,,,,,,,
BM,1992,316,1992-11-11,1,5.6,912,1120,6,S,13,15,0,
BM,1992,316,1992-11-11,1,,,,,,,,,
BM,1993,6,1993-01-06,1,7.4,1215,1415,-14,S,8,,2,1
BM,1993,6,1993-01-06,1,,,,,,,,,1
BM,1993,53,1993-02-22,1,5.3,915,1250,-5,N,10,,,1
BM,1993,53,1993-02-22,1,,,,,,,,,1
BM,1993,83,1993-03-24,1,7.5,1040,1230,14,N,1,,0,1
BM,1993,83,1993-03-24,1,,,,,,,,,1
BM,1993,125,1993-05-05,1,5.9,1355,1609,22.5,S,10,7,10,
BM,1993,125,1993-05-05,1,,,,,,,,,
BM,1993,138,1993-05-18,1,3.8,1415,1628,14.5,NE,17,30,35,
BM,1993,138,1993-05-18,1,,,,,,,,,
BM,1993,153,1993-06-02,1,8.4,1445,1615,18.5,NE,10,20,40,
BM,1993,153,1993-06-02,1,,,,,,,,,
BM,1993,166,1993-06-15,1,7.5,945,1215,16,NW,17,10,100,
BM,1993,166,1993-06-15,1,,,,,,,,,
BM,1993,179,1993-06-28,1,5.9,1438,1756,22.8,W,6,8,80,
BM,1993,179,1993-06-28,1,,,,,,,,,
BM,1993,195,1993-07-14,1,6.5,1400,1615,26.6,NW,7,6,60,
BM,1993,195,1993-07-14,1,,,,,,,,,
BM,1993,209,1993-07-28,1,5.2,1506,1810,23.6,W,28,25,90,
BM,1993,209,1993-07-28,1,,,,,,,,,
BM,1993,224,1993-08-12,1,5.6,1017,1207,26,SW,6,7,80,
BM,1993,224,1993-08-12,1,,,,,,,,,
BM,1993,238,1993-08-26,1,4.9,1334,1600,33,SW,6,10,70,
BM,1993,238,1993-08-26,1,,,,,,,,,
BM,1993,251,1993-09-08,1,4.7,1350,1559,19.9,SW,17,30,95,
BM,1993,251,1993-09-08,1,,,,,,,,,
BM,1993,264,1993-09-21,1,4.7,948,1258,13.5,SE,2,2,100,
BM,1993,264,1993-09-21,1,,,,,,,,,
BM,1993,277,1993-10-04,1,4.5,916,1111,8,W,20,30,60,
BM,1993,277,1993-10-04,1,,,,,,,,,
BM,1993,292,1993-10-19,1,5,1503,1707,14,SW,5,3,15,
BM,1993,292,1993-10-19,1,,,,,,,,,
BM,1993,314,1993-11-10,1,4.5,1416,1608,1,SW,5,3,40,
BM,1993,314,1993-11-10,1,,,,,,,,,
BM,1994,11,1994-01-11,1,6.1,1300,1510,-13.5,SE,0,,10,1
BM,1994,11,1994-01-11,1,,,,,,,,,1
BM,1994,55,1994-02-24,1,9.5,1300,1440,-7,N,5,,20,1
BM,1994,55,1994-02-24,1,,,,,,,,,1
BM,1994,89,1994-03-30,1,2.3,930,1100,1,SW,10,,50,1
BM,1994,89,1994-03-30,1,,,,,,,,,1
BM,1994,126,1994-05-06,1,4.5,1030,1225,12.5,N,5,5,5,
BM,1994,126,1994-05-06,1,,,,,,,,,
BM,1994,136,1994-05-16,1,6.4,1243,1356,14,NW,7,4,30,
BM,1994,136,1994-05-16,1,,,,,,,,,
BM,1994,152,1994-06-01,1,3.4,917,1150,11,NW,20,6,10,
BM,1994,152,1994-06-01,1,,,,,,,,,
BM,1994,164,1994-06-13,1,10.8,1315,1530,26,S,1,1,55,
BM,1994,180,1994-06-29,1,5.5,852,1055,19.5,NW,18,8,100,
BM,1994,180,1994-06-29,1,,,,,,,,,
BM,1994,194,1994-07-13,1,6.4,1325,1536,17,E,8,7,99,
BM,1994,194,1994-07-13,1,,,,,,,,,
BM,1994,206,1994-07-25,1,3.7,845,1117,19.5,NW,13,8,75,
BM,1994,206,1994-07-25,1,,,,,,,,,
BM,1994,222,1994-08-10,1,5.4,1153,1325,14,W,8,4,100,
BM,1994,222,1994-08-10,1,,,,,,,,,
BM,1994,238,1994-08-26,1,,1030,1255,25,NW,2,2,80,
BM,1994,238,1994-08-26,1,,,,,,,,,
BM,1994,249,1994-09-06,1,4.3,1430,1615,20,W,15,10,30,
BM,1994,249,1994-09-06,1,,,,,,,,,
BM,1994,262,1994-09-19,1,5.2,941,1245,26,SSW,5,5,5,
BM,1994,262,1994-09-19,1,,,,,,,,,
BM,1994,278,1994-10-05,1,4.3,1025,1200,12,SSW,10,14,75,
BM,1994,291,1994-10-18,1,5.2,915,1120,16,WSW,13,8,100,
BM,1994,291,1994-10-18,1,,,,,,,,,
BM,1994,307,1994-11-03,1,6.5,900,1115,8,NE,10,8,100,
BM,1994,307,1994-11-03,1,,,,,,,,,
BM,1994,318,1994-11-14,1,6.1,900,1120,6,W,18,25,90,
BM,1994,318,1994-11-14,1,,,,,,,,,
BM,1995,11,1995-01-11,1,5.9,930,1145,-2,E,13,,100,1
BM,1995,11,1995-01-11,1,,,,,,,,,1
BM,1995,52,1995-02-21,1,5.4,1300,1515,-4,SE,5,,100,1
BM,1995,52,1995-02-21,1,,,,,,,,,1
BM,1995,82,1995-03-23,1,14.5,930,1130,3,NE,6,,10,1
BM,1995,82,1995-03-23,1,,,,,,,,,1
BM,1995,123,1995-05-03,1,5.7,915,1115,14,SW,5,3,50,
BM,1995,123,1995-05-03,1,,,,,,,,,
BM,1995,136,1995-05-16,1,5.8,1341,1613,21.5,E,20,25,60,
BM,1995,136,1995-05-16,1,,,,,,,,,
BM,1995,150,1995-05-30,1,6.1,1000,1310,23,SW,10,15,5,
BM,1995,150,1995-05-30,1,,,,,,,,,
BM,1995,164,1995-06-13,1,11.1,830,1036,25,NW,8,7,20,
BM,1995,164,1995-06-13,1,,,,,,,,,
BM,1995,177,1995-06-26,1,6.8,803,1040,24,NE,10,12,95,
BM,1995,177,1995-06-26,1,,,,,,,,,
BM,1995,191,1995-07-10,1,6.2,1205,1357,29,NW,5,5,20,
BM,1995,191,1995-07-10,1,,,,,,,,,
BM,1995,206,1995-07-25,1,6.6,858,1115,26,N,4,5,85,
BM,1995,206,1995-07-25,1,,,,,,,,,
BM,1995,220,1995-08-08,1,5.3,1254,1410,24,W,9,18,10,
BM,1995,221,1995-08-09,1,,,,,,,,,
BM,1995,235,1995-08-23,1,6,1347,1552,27,SW,9,13,5,
BM,1995,235,1995-08-23,1,,,,,,,,,
BM,1995,250,1995-09-07,1,5.1,1226,1404,15,N,30,25,30,
BM,1995,250,1995-09-07,1,,,,,,,,,
BM,1995,263,1995-09-20,1,5.8,849,1128,9,NW,8,5,90,
BM,1995,263,1995-09-20,1,,,,,,,,,
BM,1995,276,1995-10-03,1,7.3,855,1036,11,S,10,5,100,
BM,1995,276,1995-10-03,1,,,,,,,,,
BM,1995,289,1995-10-16,1,4,849,1110,8,N,5,5,0,
BM,1995,289,1995-10-16,1,,,,,,,,,
BM,1995,303,1995-10-30,1,3.4,900,1055,5,NE,8,4,60,
BM,1995,303,1995-10-30,1,,,,,,,,,
BM,1995,352,1995-12-18,1,6.6,1100,1240,0,N,13,,100,1
BM,1995,352,1995-12-18,1,,,,,,,,,
BM,1996,38,1996-02-07,1,6.1,1135,1300,5,S,8,,5,1
BM,1996,38,1996-02-07,1,,,,,,,,,1
BM,1996,54,1996-02-23,1,6.3,1015,1200,3,E,10,,100,1
BM,1996,54,1996-02-23,1,,,,,,,,,1
BM,1996,100,1996-04-09,1,4.2,1115,1255,6,N,8,,2,1
BM,1996,100,1996-04-09,1,,,,,,,,,1
BM,1996,136,1996-05-15,1,4.5,945,1200,9,S,5,5,100,
BM,1996,136,1996-05-15,1,,,,,,,,,
BM,1996,149,1996-05-28,1,3.4,1045,1305,21,N,8,10,2,
BM,1996,149,1996-05-28,1,,,,,,,,,
BM,1996,162,1996-06-10,1,5.4,1505,1815,23,SW,1,0,60,
BM,1996,162,1996-06-10,1,,,,,,,,,
BM,1996,177,1996-06-25,1,6.4,900,1130,21,W,5,10,60,
BM,1996,177,1996-06-25,1,,,,,,,,,
BM,1996,192,1996-07-10,1,6.6,1355,1650,22,W,10,20,2,
BM,1996,192,1996-07-10,1,,,,,,,,,
BM,1996,205,1996-07-23,1,6.9,1300,1515,23,S,18,45,85,
BM,1996,205,1996-07-23,1,,,,,,,,,
BM,1996,219,1996-08-06,1,6,1345,1620,29,W,5,35,20,
BM,1996,219,1996-08-06,1,,,,,,,,,
BM,1996,234,1996-08-21,1,5.2,1400,1606,26,S,11,5,50,
BM,1996,234,1996-08-21,1,,,,,,,,,
BM,1996,247,1996-09-03,1,5.1,1405,1705,27,S,2,1,30,
BM,1996,247,1996-09-03,1,,,,,,,,,
BM,1996,261,1996-09-17,1,5.1,1245,1433,17,N,5,5,40,
BM,1996,261,1996-09-17,1,,,,,,,,,
BM,1996,276,1996-10-02,1,3.2,1235,1455,4,NW,28,23,95,
BM,1996,276,1996-10-02,1,,,,,,,,,
BM,1996,288,1996-10-14,1,4.1,1310,1500,10,W,11,5,80,
BM,1996,288,1996-10-14,1,,,,,,,,,
BM,1996,311,1996-11-06,1,5.4,1345,1530,7.5,S,11,6,100,
BM,1996,311,1996-11-06,1,,,,,,,,,
BM,1997,15,1997-01-15,1,6.2,1130,1300,-9,SSW,15,,100,1
BM,1997,51,1997-02-20,1,7.6,1205,1350,2,S,8,,100,1
BM,1997,92,1997-04-02,1,10.6,1150,1330,11.5,W,23,,60,1
BM,1997,126,1997-05-06,1,4.6,1350,1531,12,W,15,10,1,
BM,1997,141,1997-05-21,1,4.9,945,1055,,NW,13,10,30,
BM,1997,153,1997-06-02,1,8.9,915,1125,26,NE,8,8,20,
BM,1997,168,1997-06-17,1,10.7,910,1110,18.5,SW,8,15,20,
BM,1997,181,1997-06-30,1,7.8,920,1130,24,SW,3,2,98,
BM,1997,195,1997-07-14,1,6.3,1018,1150,26,SW,13,10,75,
BM,1997,211,1997-07-30,1,7.3,1355,1533,24.5,W,8,5,0,
BM,1997,225,1997-08-13,1,7.1,1220,1320,19,NW,18,20,25,
BM,1997,239,1997-08-27,1,6.9,1313,1525,22,NW,10,6,2,
BM,1997,253,1997-09-10,1,5.1,1338,1505,19,N,8,11,70,
BM,1997,265,1997-09-22,1,4.4,1347,1553,17,SSE,13,14,100,
BM,1997,283,1997-10-10,1,4.1,1343,1500,16,S,8,5,5,
BM,1997,295,1997-10-22,1,3.2,909,1035,1,NW,5,7,100,
BM,1997,316,1997-11-12,1,3.6,1000,1237,-2,NNW,13,9,90,
BM,1998,15,1998-01-15,1,6,1100,1225,-6,SE,5,,25,1
BM,1998,50,1998-02-19,1,10.7,1410,1545,4,N,8,,20,1
BM,1998,78,1998-03-19,1,6.5,1042,1215,-1,E,18,,5,1
BM,1998,113,1998-04-23,1,6.1,1042,1222,21,SW,8,6,30,
BM,1998,124,1998-05-04,1,9.8,958,1121,18,S,3,3,20,
BM,1998,138,1998-05-18,1,5.9,1040,1300,25,S,8,10,35,
BM,1998,153,1998-06-02,1,6.4,945,1125,11,N,18,13,100,
BM,1998,169,1998-06-18,1,5.2,855,1050,24,E,15,13,99,
BM,1998,181,1998-06-30,1,6.1,850,1110,21,N,11,5,100,
BM,1998,194,1998-07-13,1,7.1,850,1140,26,W,12,15,35,
BM,1998,209,1998-07-28,1,5.4,1545,1735,24,W,15,20,40,
BM,1998,223,1998-08-11,1,6.5,1320,1540,27,N,8,4,25,
BM,1998,236,1998-08-24,1,6.4,845,1000,22,SW,10,10,70,
BM,1998,251,1998-09-08,1,4.9,950,1218,15.9,NE,10,8,97,
BM,1998,264,1998-09-21,1,4.6,1415,1550,15,N,8,7,97,
BM,1998,278,1998-10-05,1,4,1245,1430,12,E,25,20,100,
BM,1998,293,1998-10-20,1,4.1,1415,1520,5.6,W,10,8,95,
BM,1998,306,1998-11-02,1,4.1,1020,1210,7,NE,13,10,5,
BM,1999,15,1999-01-15,1,6.7,1225,1410,-10,E,13,,100,1
BM,1999,15,1999-01-15,1,,,,,,,,,1
BM,1999,55,1999-02-24,1,6.4,1025,1205,-3.3,E,10,,100,1
BM,1999,55,1999-02-24,1,,,,,,,,,1
BM,1999,83,1999-03-24,1,9.7,1305,1427,-1.6,NW,10,,2,1
BM,1999,83,1999-03-24,1,,,,,,,,,1
BM,1999,123,1999-05-03,1,2.8,1045,1330,20.3,S,20,18,40,
BM,1999,123,1999-05-03,1,,,,,,,,,
BM,1999,138,1999-05-18,1,7.9,937,1124,16.1,N,8,8,100,
BM,1999,138,1999-05-18,1,,,,,,,,,
BM,1999,152,1999-06-01,1,7.2,1100,1358,18,N,5,2,100,
BM,1999,152,1999-06-01,1,,,,,,,,,
BM,1999,166,1999-06-15,1,6.2,927,1126,21.2,W,8,6,60,
BM,1999,166,1999-06-15,1,,,,,,,,,
BM,1999,179,1999-06-28,1,6.7,932,1207,21.1,NE,8,4,99,
BM,1999,179,1999-06-28,1,,,,,,,,,
BM,1999,194,1999-07-13,1,5,1230,1406,20.3,E,18,8,90,
BM,1999,194,1999-07-13,1,,,,,,,,,
BM,1999,208,1999-07-27,1,7,1454,1730,23.6,E,13,7,50,
BM,1999,208,1999-07-27,1,,,,,,,,,
BM,1999,224,1999-08-12,1,5,1005,1131,20.2,W,8,4,100,
BM,1999,224,1999-08-12,1,,,,,,,,,
BM,1999,239,1999-08-27,1,6,925,1213,27.1,N,3,3,100,
BM,1999,250,1999-09-07,1,5.9,928,1048,20.7,NW,13,5,45,
BM,1999,266,1999-09-23,1,5.1,1439,1647,14.8,NW,15,6,70,
BM,1999,277,1999-10-04,1,4.5,1319,1441,8.2,N,18,7,75,
BM,1999,294,1999-10-21,1,4.2,1333,1535,13.6,SW,18,10,99,
BM,1999,315,1999-11-11,1,4.2,1252,1504,1.9,N,15,6,100,
BM,2000,24,2000-01-24,1,5.5,1200,1330,-9,S,13,,70,1
BM,2000,54,2000-02-23,1,7,1235,1352,1,,0,,100,1
BM,2000,96,2000-04-05,1,5.6,1000,1137,7.4,S,5,8,80,
BM,2000,109,2000-04-18,1,4.2,1050,1215,5.5,SW,13,10,100,
BM,2000,123,2000-05-02,1,8.4,1320,1450,18.6,SE,2,1,10,
BM,2000,136,2000-05-15,1,8.2,1038,1215,16,SW,5,5,60,
BM,2000,151,2000-05-30,1,8.7,1020,1224,16.5,E,12,4,70,
BM,2000,167,2000-06-15,1,5.3,1005,1155,20.6,W,22,20,65,
BM,2000,178,2000-06-26,1,5.8,918,1245,16,W,16,4,85,
BM,2000,192,2000-07-10,1,5.8,1400,1510,26,W,8,5,50,
BM,2000,206,2000-07-24,1,5.7,1430,1645,25.3,SW,10,8,50,
BM,2000,220,2000-08-07,1,5.5,1341,1505,24.7,W,8,5,65,
BM,2000,237,2000-08-24,1,6.8,1008,1200,22.1,,0,1,0,
BM,2000,251,2000-09-07,1,3.3,1112,1228,17.9,N,9,11,100,
BM,2000,264,2000-09-20,1,3.8,1356,1533,15.2,NE,6,11,100,
BM,2000,277,2000-10-03,1,5.5,1028,1140,13.6,NE,5,6,50,
BM,2000,290,2000-10-16,1,6.3,1022,1220,11.7,,0,0,70,
BM,2000,306,2000-11-01,1,5.3,1328,1445,16.5,WNW,15,6,60,
BM,2000,319,2000-11-14,1,5.1,1039,1240,0.6,NNW,13,7,100,
BM,2001,18,2001-01-18,1,11.3,1220,1415,-4,S,5,,100,1
BM,2001,54,2001-02-23,1,7.8,1145,1315,-9,,0,,2,1
BM,2001,96,2001-04-06,1,,1240,1345,5,N,5,,98,1
BM,2001,124,2001-05-04,1,4.6,1140,1345,15.3,NNW,8,5,70,
BM,2001,135,2001-05-15,1,7.4,1335,1535,25.9,S,6,8,2,
BM,2001,151,2001-05-31,1,9.3,930,1135,21.2,W,2,1,0,
BM,2001,163,2001-06-12,1,8.3,1330,1530,31.5,SW,5,2,65,
BM,2001,178,2001-06-27,1,6.9,930,1140,28.7,S,4,3,40,
BM,2001,191,2001-07-10,1,6.9,1220,1415,22,NW,13,7,50,
BM,2001,206,2001-07-25,1,7.2,950,1145,20.2,NW,8,3,30,
BM,2001,219,2001-08-07,1,8.3,915,1130,31,,0,0,1,
BM,2001,233,2001-08-21,1,5.6,945,1130,25,S,9,12,20,
BM,2001,247,2001-09-04,1,5.1,940,1130,24,,0,0,1,
BM,2001,260,2001-09-17,1,2.8,1410,1552,21,SE,1,1,100,
BM,2001,274,2001-10-01,1,5.3,1250,1352,20,SSW,7,5,1,
BM,2001,289,2001-10-16,1,4.3,1342,1522,5.4,NW,7,10,75,
BM,2001,304,2001-10-31,1,3.8,1316,1428,14.5,S,8,10,100,
BM,2001,316,2001-11-12,1,5.1,940,1207,7.5,E,2,3,1,
BM,2002,22,2002-01-22,1,,1005,1130,0,S,5,,20,1
BM,2002,57,2002-02-26,1,4.8,1035,1235,-8,N,20,,100,1
BM,2002,106,2002-04-16,1,14.2,1135,1245,22,SE,6,,5,1
BM,2002,114,2002-04-24,1,7,1030,1145,11.7,S,7,7,100,
BM,2002,126,2002-05-06,1,5.8,1408,1538,11,,0,0,100,
BM,2002,140,2002-05-20,1,6.4,1323,1505,17,N,8,1,35,
BM,2002,154,2002-06-03,1,8,850,1055,11,E,7,10,100,
BM,2002,169,2002-06-18,1,8.1,1215,1425,21,E,20,10,30,
BM,2002,184,2002-07-03,1,7.9,1300,1440,27,SW,6,5,5,
BM,2002,196,2002-07-15,1,6.1,900,1045,31,W,8,10,0,
BM,2002,211,2002-07-30,1,8.7,1340,1515,31.4,SW,5,5,5,
BM,2002,224,2002-08-12,1,5.7,945,1215,23,S,10,30,70,
BM,2002,240,2002-08-28,1,5.9,840,945,18,SSE,2,3,100,
BM,2002,252,2002-09-09,1,5.4,1047,1250,31,SW,7,8,0,
BM,2002,266,2002-09-23,1,4.5,900,1025,9.1,SE,4,0,100,
BM,2002,280,2002-10-07,1,4,1405,1620,8.4,SSW,6,10,95,
BM,2002,294,2002-10-21,1,4,1240,1405,0.5,N,8,20,100,
BM,2002,309,2002-11-05,1,6.2,1430,1620,2,SSE,6,1,100,
BM,2003,30,2003-01-30,1,5.3,935,1050,,SW,7,,100,1
BM,2003,52,2003-02-21,1,8.2,1115,1255,,NW,7,,100,1
BM,2003,91,2003-04-01,1,8.2,1010,1140,7.5,,0,,100,1
BM,2003,120,2003-04-30,1,7.3,1435,1700,19,,0,0,50,
BM,2003,135,2003-05-15,1,3,935,1053,22,NE,3,7,30,
BM,2003,150,2003-05-30,1,6.3,1535,1725,15,N,15,15,100,
BM,2003,160,2003-06-09,1,8.6,1015,1232,20,SW,4,2,99,
BM,2003,176,2003-06-25,1,5.8,1315,1500,29,WNW,9,10,90,
BM,2003,190,2003-07-09,1,7.2,852,1009,24,,0,3,100,
BM,2003,204,2003-07-23,1,6,1409,1555,28,NE,7,6,50,
BM,2003,218,2003-08-06,1,6.3,849,947,28,N,5,3,78,
BM,2003,231,2003-08-19,1,5,1440,,30,S,4,8,100,
BM,2003,245,2003-09-02,1,4.6,955,1140,25,S,7,8,5,
BM,2003,260,2003-09-17,1,6,915,1145,21,SW,8,8,5,
BM,2003,275,2003-10-02,1,6.3,905,1105,4.1,WSW,9,5,15,
BM,2003,286,2003-10-13,1,6.2,1315,1520,16.1,SW,7,6,75,
BM,2003,302,2003-10-29,1,5.6,847,1040,4,WNW,6,4,100,
BM,2003,314,2003-11-10,1,7.1,942,1212,1.5,SE,6,3,100,
BM,2004,26,2004-01-26,1,9.1,915,1055,,NE,8,,100,1
BM,2004,62,2004-03-02,1,8,1125,1310,2,SW,1,,100,1
BM,2004,96,2004-04-05,1,11.8,1250,1320,5,SE,7,,5,1
BM,2004,120,2004-04-29,1,4.2,1400,1510,6,N,7,4,100,
BM,2004,132,2004-05-11,1,3.3,1403,1510,18.5,E,10,8,70,
BM,2004,146,2004-05-25,1,6.2,1020,1215,12,SW,9,10,100,
BM,2004,160,2004-06-08,1,7.6,1310,1500,26,WSW,7,5,100,
BM,2004,174,2004-06-22,1,7.6,925,1210,18,WSW,9,7,85,
BM,2004,189,2004-07-07,1,4.6,1300,1440,13.5,WNW,7,7,100,
BM,2004,201,2004-07-19,1,6.9,925,1130,24,WSW,7,11,20,
BM,2004,216,2004-08-03,1,7,845,1035,24,SSE,4,4,20,
BM,2004,230,2004-08-17,1,5.4,1015,1230,23,WSW,2,6,95,
BM,2004,243,2004-08-30,1,4.9,1029,1125,18.5,SE,9,15,50,
BM,2004,257,2004-09-13,1,6.4,1428,1625,24,S,8,15,38,
BM,2004,272,2004-09-28,1,7.4,1142,1330,16,NE,5,3,0,
BM,2004,286,2004-10-12,1,5.2,1242,1436,17,,0,0,45,
BM,2004,301,2004-10-27,1,6.6,1211,1356,6.5,SE,5,5,100,
BM,2004,313,2004-11-08,1,7.7,924,1150,2.5,NW,5,6,2,
BM,2005,11,2005-01-11,1,10,1045,1212,-7,,0,,100,1
BM,2005,55,2005-02-24,1,8.5,1150,1335,-4,,0,,80,1
BM,2005,94,2005-04-04,1,13.2,1215,1455,9,E,12,,100,1
BM,2005,112,2005-04-22,1,3.7,1200,1410,1,N,9,10,100,
BM,2005,125,2005-05-05,1,4,915,1045,11,SW,8,10,100,
BM,2005,136,2005-05-16,1,6.3,1030,1143,12,,0,0,70,
BM,2005,151,2005-05-31,1,10.8,1057,1250,28,,0,0,50,
BM,2005,165,2005-06-14,1,7.6,1027,1235,23,S,7,8,60,
BM,2005,179,2005-06-28,1,7.8,1410,1529,34,,0,0,75,
BM,2005,193,2005-07-12,1,6.4,954,1208,33,W,3,2,50,
BM,2005,207,2005-07-26,1,4.9,1323,1440,17,NNW,8,6,99,
BM,2005,222,2005-08-10,1,5.9,858,1058,24,ESE,6,3,10,
BM,2005,235,2005-08-23,1,4.8,927,1038,29,SE,4,2,15,
BM,2005,252,2005-09-09,1,5.5,1016,1155,23,SW,9,12,15,
BM,2005,265,2005-09-22,1,5.2,917,1005,14.5,N,8,10,90,
BM,2005,278,2005-10-05,1,5.1,913,1042,18,SE,5,2,15,
BM,2005,290,2005-10-17,1,4.4,947,1132,10.5,SW,19,20,100,
BM,2005,315,2005-11-11,1,5.8,934,1110,7,S,7,4,45,
BM,2006,16,2006-01-16,1,9.2,1030,1220,-2,W,15,,100,1
BM,2006,52,2006-02-21,1,,1200,1340,-4,SW,7,,60,1
BM,2006,94,2006-04-04,1,11.8,1115,1240,3,NW,20,,20,1
BM,2006,114,2006-04-24,1,5.1,1010,1136,14,SW,7,5,95,
BM,2006,123,2006-05-03,1,6,1005,1055,14,WNW,16,15,5,
BM,2006,139,2006-05-19,1,7.8,1438,1600,16,NW,8,4,10,
BM,2006,150,2006-05-30,1,6.1,1015,1230,26,NNW,7,4,95,
BM,2006,164,2006-06-13,1,7.7,1400,1600,25,NE,6,2,70,
BM,2006,178,2006-06-27,1,6.5,1315,1445,26,W,5,5,70,
BM,2006,191,2006-07-10,1,3.8,950,1135,22,,0,2,60,
BM,2006,206,2006-07-25,1,4.3,1304,1430,29,W,4,3,70,
BM,2006,219,2006-08-07,1,5,959,1145,20,N,9,8,40,
BM,2006,235,2006-08-23,1,5.4,935,1050,20,,0,0,42,
BM,2006,248,2006-09-05,1,5.2,923,1118,24,W,5,3,0,
BM,2006,261,2006-09-18,1,4.8,858,959,12,SW,20,20,98,
BM,2006,275,2006-10-02,1,5.8,1200,1319,23.5,S,4,1,10,
BM,2006,289,2006-10-16,1,3.4,1214,1321,6,SE,7,4,100,
BM,2006,305,2006-11-01,1,5.1,1240,1434,9,NW,21,50,65,
BM,2007,17,2007-01-17,1,4.8,1205,1340,-6,SSE,16,,30,1
BM,2007,58,2007-02-27,1,7.9,1140,1320,-1,,0,,100,1
BM,2007,89,2007-03-30,1,11.7,1120,1245,2,NE,7,,100,1
BM,2007,115,2007-04-25,1,8.3,1030,1220,11,,0,0,100,
BM,2007,127,2007-05-07,1,4.8,1445,1550,15,S,3,3,100,
BM,2007,142,2007-05-22,1,4.8,940,1205,15,S,24,5,10,
BM,2007,158,2007-06-07,1,6.2,915,1040,23,S,10,5,40,
BM,2007,171,2007-06-20,1,5.4,1400,1540,22,W,8,10,80,
BM,2007,183,2007-07-02,1,4.8,950,1100,16,S,6,2,100,
BM,2007,199,2007-07-18,1,7.7,1230,1405,24,N,5,1,25,
BM,2007,213,2007-08-01,1,5.8,838,958,25,WSW,14,13,3,
BM,2007,227,2007-08-15,1,6,1240,1400,23,SE,4,2,5,
BM,2007,239,2007-08-27,1,5.7,1230,1340,22,S,8,10,55,
BM,2007,254,2007-09-11,1,3.7,1344,1512,11,W,30,45,100,
BM,2007,270,2007-09-27,1,5.2,924,1020,12,SW,7,6,100,
BM,2007,281,2007-10-08,1,5,924,1041,23,SW,8,5,50,
BM,2007,295,2007-10-22,1,4.9,917,1049,7,NW,8,5,85,
BM,2007,313,2007-11-09,1,5.9,926,1115,2,NW,6,5,100,
BM,2008,16,2008-01-16,1,7.7,1055,1230,-5,S,4,,100,1
BM,2008,57,2008-02-26,1,7,1105,1256,-8,N,10,,98,1
BM,2008,86,2008-03-26,1,7.6,1105,1230,-1,W,16,,100,1
BM,2008,130,2008-05-09,1,4.2,1115,1310,10,W,10,4,50,
BM,2008,141,2008-05-20,1,6.8,,1506,12,SW,18,12,50,
BM,2008,155,2008-06-03,1,6,1043,1240,14,E,9,9,100,
BM,2008,175,2008-06-23,1,10.5,1051,1220,24,NE,6,8,40,
BM,2008,183,2008-07-01,1,6.5,1057,1422,25,SW,7,30,10,
BM,2008,198,2008-07-16,1,4.5,1339,1454,25,,0,1,100,
BM,2008,212,2008-07-30,1,6.6,941,1120,19,W,8,20,50,
BM,2008,228,2008-08-15,1,6.3,937,1118,20,,0,0,0,
BM,2008,241,2008-08-28,1,4.8,955,1137,18,W,6,7,100,
BM,2008,252,2008-09-08,1,5.2,939,1046,13,W,6,6,95,
BM,2008,266,2008-09-22,1,4.3,1234,1352,22,SW,15,30,60,
BM,2008,280,2008-10-06,1,4.5,1346,1440,9.5,SE,15,20,100,
BM,2008,295,2008-10-21,1,3.6,1233,1346,8.5,,0,0,10,
BM,2008,312,2008-11-07,1,5,910,1050,5,SE,5,5,75,
BM,2009,21,2009-01-21,1,7.3,1005,1135,-8,SW,6,,100,1
BM,2009,55,2009-02-24,1,12.7,1055,1240,-4,S,8,,3,1
BM,2009,75,2009-03-16,1,7.9,1240,1420,12,SSW,15,,10,1
