lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
BM,1983,214,1983-08-02,0.381,,
BM,1983,229,1983-08-17,0.339,,
BM,1983,250,1983-09-07,,V,extcoef: Light not monotonically decreasing
BM,1983,271,1983-09-28,0.332,,
BM,1983,290,1983-10-17,0.357,,
BM,1983,306,1983-11-02,0.275,,
BM,1983,318,1983-11-14,0.278,,
BM,1983,332,1983-11-28,0.29,,
BM,1984,10,1984-01-10,,V,extcoef: No light data
BM,1984,54,1984-02-23,,V,extcoef: No light data
BM,1984,95,1984-04-04,,V,extcoef: No light data
BM,1984,128,1984-05-07,0.237,,
BM,1984,145,1984-05-24,0.255,,
BM,1984,158,1984-06-06,,V,extcoef: Light not monotonically decreasing
BM,1984,172,1984-06-20,0.245,,
BM,1984,185,1984-07-03,,V,extcoef: Light not monotonically decreasing
BM,1984,199,1984-07-17,0.292,,
BM,1984,214,1984-08-01,,V,extcoef: Light not monotonically decreasing
BM,1984,226,1984-08-13,0.339,,
BM,1984,248,1984-09-04,0.386,,
BM,1984,269,1984-09-25,0.293,,
BM,1984,289,1984-10-15,0.358,,
BM,1984,310,1984-11-05,0.545,,
BM,1985,9,1985-01-09,0.499,,
BM,1985,57,1985-02-26,0.553,,
BM,1985,86,1985-03-27,0.289,,
BM,1985,101,1985-04-11,0.306,,
BM,1985,121,1985-05-01,0.349,,
BM,1985,134,1985-05-14,0.41,,
BM,1985,150,1985-05-30,0.336,,
BM,1985,164,1985-06-13,0.344,,
BM,1985,177,1985-06-26,0.321,,
BM,1985,190,1985-07-09,0.37,,
BM,1985,206,1985-07-25,,V,extcoef: Light not monotonically decreasing
BM,1985,220,1985-08-08,0.345,,
BM,1985,233,1985-08-21,0.32,,
BM,1985,254,1985-09-11,0.345,,
BM,1985,276,1985-10-03,,V,extcoef: Light not monotonically decreasing
BM,1985,298,1985-10-25,0.372,,
BM,1985,317,1985-11-13,0.254,,
BM,1986,8,1986-01-08,,V,extcoef: Insufficient light data
BM,1986,57,1986-02-26,,V,extcoef: Insufficient light data
BM,1986,91,1986-04-01,0.224,,
BM,1986,113,1986-04-23,0.323,,
BM,1986,128,1986-05-08,0.299,,
BM,1986,139,1986-05-19,0.269,,
BM,1986,155,1986-06-04,0.251,,
BM,1986,169,1986-06-18,0.28,,
BM,1986,182,1986-07-01,0.286,,
BM,1986,197,1986-07-16,0.309,,
BM,1986,211,1986-07-30,,V,extcoef: Light not monotonically decreasing
BM,1986,224,1986-08-12,0.337,,
BM,1986,237,1986-08-25,0.329,,
BM,1986,253,1986-09-10,0.274,,
BM,1986,266,1986-09-23,0.34,,
BM,1986,280,1986-10-07,,V,extcoef: Light not monotonically decreasing
BM,1986,294,1986-10-21,0.316,,
BM,1986,309,1986-11-05,0.272,,
BM,1987,12,1987-01-12,0.383,,
BM,1987,56,1987-02-25,0.425,,
BM,1987,83,1987-03-24,0.267,,
BM,1987,106,1987-04-16,0.292,,
BM,1987,126,1987-05-06,0.392,,
BM,1987,141,1987-05-21,,V,extcoef: Light not monotonically decreasing
BM,1987,153,1987-06-02,0.274,,
BM,1987,162,1987-06-11,0.261,,
BM,1987,181,1987-06-30,0.316,,
BM,1987,195,1987-07-14,0.336,,
BM,1987,209,1987-07-28,0.323,,
BM,1987,223,1987-08-11,0.325,,
BM,1987,236,1987-08-24,0.332,,
BM,1987,252,1987-09-09,0.319,,
BM,1987,266,1987-09-23,0.328,,
BM,1987,279,1987-10-06,0.293,,
BM,1987,294,1987-10-21,0.345,,
BM,1987,308,1987-11-04,0.315,,
BM,1987,320,1987-11-16,0.271,,
BM,1988,12,1988-01-12,,V,extcoef: Light not monotonically decreasing
BM,1988,61,1988-03-01,0.432,,
BM,1988,97,1988-04-06,0.273,,
BM,1988,116,1988-04-25,0.331,,
BM,1988,132,1988-05-11,0.325,,
BM,1988,146,1988-05-25,0.232,,
BM,1988,161,1988-06-09,0.274,,
BM,1988,174,1988-06-22,0.278,,
BM,1988,187,1988-07-05,0.306,,
BM,1988,202,1988-07-20,0.344,,
BM,1988,217,1988-08-04,0.314,,
BM,1988,231,1988-08-18,0.289,,
BM,1988,243,1988-08-30,0.32,,
BM,1988,256,1988-09-12,0.295,,
BM,1988,271,1988-09-27,0.375,,
BM,1988,287,1988-10-13,0.381,,
BM,1988,298,1988-10-24,0.321,,
BM,1988,312,1988-11-07,0.238,,
BM,1989,17,1989-01-17,,V,extcoef: Insufficient light data
BM,1989,59,1989-02-28,,V,extcoef: Insufficient light data
BM,1989,90,1989-03-31,0.235,,
BM,1989,122,1989-05-02,0.294,,
BM,1989,135,1989-05-15,0.344,,
BM,1989,151,1989-05-31,,V,extcoef: Light not monotonically decreasing
BM,1989,163,1989-06-12,0.247,,
BM,1989,178,1989-06-27,0.256,,
BM,1989,191,1989-07-10,0.294,,
BM,1989,206,1989-07-25,0.32,,
BM,1989,222,1989-08-10,0.322,,
BM,1989,234,1989-08-22,0.256,,
BM,1989,250,1989-09-07,,V,extcoef: Light not monotonically decreasing
BM,1989,263,1989-09-20,0.328,,
BM,1989,276,1989-10-03,0.27,,
BM,1989,290,1989-10-17,,V,extcoef: Light not monotonically decreasing
BM,1989,305,1989-11-01,0.3,,
BM,1989,318,1989-11-14,0.247,,
BM,1990,23,1990-01-23,,V,extcoef: Insufficient light data
BM,1990,51,1990-02-20,,V,extcoef: Insufficient light data
BM,1990,88,1990-03-29,,V,extcoef: No light data
BM,1990,121,1990-05-01,0.316,,
BM,1990,134,1990-05-14,0.238,,
BM,1990,151,1990-05-31,,V,extcoef: Light not monotonically decreasing
BM,1990,164,1990-06-13,0.262,,
BM,1990,177,1990-06-26,,V,extcoef: Light not monotonically decreasing
BM,1990,190,1990-07-09,0.334,,
BM,1990,207,1990-07-26,0.303,,
BM,1990,218,1990-08-06,0.319,,
BM,1990,233,1990-08-21,0.324,,
BM,1990,248,1990-09-05,0.316,,
BM,1990,263,1990-09-20,0.306,,
BM,1990,274,1990-10-01,0.336,,
BM,1990,292,1990-10-19,0.324,,
BM,1990,302,1990-10-29,0.328,,
BM,1990,318,1990-11-14,0.254,,
BM,1991,14,1991-01-14,,V,extcoef: Insufficient light data
BM,1991,52,1991-02-21,0.271,,
BM,1991,85,1991-03-26,0.235,,
BM,1991,126,1991-05-06,0.315,,
BM,1991,140,1991-05-20,0.275,,
BM,1991,156,1991-06-05,,V,extcoef: Light not monotonically decreasing
BM,1991,168,1991-06-17,,V,extcoef: Light not monotonically decreasing
BM,1991,182,1991-07-01,0.254,,
BM,1991,196,1991-07-15,0.308,,
BM,1991,210,1991-07-29,0.287,,
BM,1991,226,1991-08-14,0.338,,
BM,1991,239,1991-08-27,0.336,,
BM,1991,252,1991-09-09,0.302,,
BM,1991,267,1991-09-24,,V,extcoef: Light not monotonically decreasing
BM,1991,280,1991-10-07,,V,extcoef: Light not monotonically decreasing
BM,1991,302,1991-10-29,0.224,,
BM,1992,13,1992-01-13,0.331,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,1992,56,1992-02-25,,V,extcoef: Insufficient light data
BM,1992,87,1992-03-27,0.303,,
BM,1992,126,1992-05-05,0.338,,
BM,1992,141,1992-05-20,0.378,,
BM,1992,155,1992-06-03,0.198,,
BM,1992,170,1992-06-18,0.237,,
BM,1992,190,1992-07-08,,V,extcoef: No light data
BM,1992,196,1992-07-14,0.335,,
BM,1992,212,1992-07-30,,V,extcoef: Insufficient light data
BM,1992,225,1992-08-12,1.504,,
BM,1992,238,1992-08-25,0.262,,
BM,1992,253,1992-09-09,0.272,,
BM,1992,267,1992-09-23,0.311,,
BM,1992,281,1992-10-07,0.3,,
BM,1992,293,1992-10-19,,V,extcoef: Light not monotonically decreasing
BM,1992,316,1992-11-11,0.327,,
BM,1993,6,1993-01-06,,V,extcoef: Insufficient light data
BM,1993,53,1993-02-22,0.419,,
BM,1993,83,1993-03-24,0.226,,
BM,1993,125,1993-05-05,,V,extcoef: Light not monotonically decreasing
BM,1993,138,1993-05-18,,V,extcoef: Light not monotonically decreasing
BM,1993,153,1993-06-02,0.249,,
BM,1993,166,1993-06-15,0.25,,
BM,1993,179,1993-06-28,0.281,,
BM,1993,195,1993-07-14,0.315,,
BM,1993,209,1993-07-28,,V,extcoef: Light not monotonically decreasing
BM,1993,224,1993-08-12,0.295,,
BM,1993,238,1993-08-26,0.314,,
BM,1993,251,1993-09-08,0.254,,
BM,1993,264,1993-09-21,0.087,,
BM,1993,277,1993-10-04,0.381,,
BM,1993,292,1993-10-19,0.337,,
BM,1993,314,1993-11-10,0.342,,
BM,1994,11,1994-01-11,,V,extcoef: Insufficient light data
BM,1994,55,1994-02-24,0.289,,
BM,1994,89,1994-03-30,,V,extcoef: Insufficient light data
BM,1994,126,1994-05-06,,V,extcoef: Light not monotonically decreasing
BM,1994,136,1994-05-16,0.275,,
BM,1994,152,1994-06-01,0.3,,
BM,1994,164,1994-06-13,,V,extcoef: Light not monotonically decreasing
BM,1994,180,1994-06-29,0.27,,
BM,1994,194,1994-07-13,0.314,,
BM,1994,206,1994-07-25,0.353,,
BM,1994,222,1994-08-10,0.28,,
BM,1994,238,1994-08-26,0.321,,
BM,1994,249,1994-09-06,,V,extcoef: Light not monotonically decreasing
BM,1994,262,1994-09-19,0.353,,
BM,1994,278,1994-10-05,0.346,,
BM,1994,291,1994-10-18,0.358,,
BM,1994,307,1994-11-03,0.325,,
BM,1994,318,1994-11-14,0.325,,
BM,1995,11,1995-01-11,,V,extcoef: Insufficient light data
BM,1995,52,1995-02-21,0.471,,
BM,1995,82,1995-03-23,0.25,,
BM,1995,123,1995-05-03,,V,extcoef: Light not monotonically decreasing
BM,1995,136,1995-05-16,0.323,,
BM,1995,150,1995-05-30,0.253,,
BM,1995,164,1995-06-13,0.253,,
BM,1995,177,1995-06-26,0.281,,
BM,1995,191,1995-07-10,0.297,,
BM,1995,206,1995-07-25,0.315,,
BM,1995,220,1995-08-08,0.328,,
BM,1995,235,1995-08-23,0.323,,
BM,1995,250,1995-09-07,0.344,,
BM,1995,263,1995-09-20,0.314,,
BM,1995,276,1995-10-03,0.367,,
BM,1995,289,1995-10-16,0.502,,
BM,1995,303,1995-10-30,0.514,,
BM,1995,352,1995-12-18,,V,extcoef: Ice depth is missing
BM,1996,38,1996-02-07,,V,extcoef: Insufficient light data
BM,1996,54,1996-02-23,,V,extcoef: Insufficient light data
BM,1996,100,1996-04-09,,V,extcoef: Insufficient light data
BM,1996,136,1996-05-15,0.342,,
BM,1996,149,1996-05-28,0.363,,
BM,1996,162,1996-06-10,0.449,,
BM,1996,177,1996-06-25,0.292,,
BM,1996,192,1996-07-10,,V,extcoef: Insufficient light data
BM,1996,205,1996-07-23,0.328,,
BM,1996,219,1996-08-06,0.332,,
BM,1996,234,1996-08-21,0.377,,
BM,1996,247,1996-09-03,,V,extcoef: Light not monotonically decreasing
BM,1996,261,1996-09-17,0.384,,
BM,1996,276,1996-10-02,0.362,,
BM,1996,288,1996-10-14,0.367,,
BM,1996,311,1996-11-06,0.365,,
BM,1997,15,1997-01-15,,V,extcoef: No light data
BM,1997,51,1997-02-20,,V,extcoef: Insufficient light data
BM,1997,92,1997-04-02,0.263,,
BM,1997,126,1997-05-06,0.326,,
BM,1997,141,1997-05-21,0.299,,
BM,1997,153,1997-06-02,0.308,,
BM,1997,168,1997-06-17,0.275,,
BM,1997,181,1997-06-30,0.27,,
BM,1997,195,1997-07-14,0.291,,
BM,1997,211,1997-07-30,,V,extcoef: No light data
BM,1997,225,1997-08-13,,V,extcoef: No light data
BM,1997,239,1997-08-27,,V,extcoef: No light data
BM,1997,253,1997-09-10,0.312,,
BM,1997,265,1997-09-22,,V,extcoef: Light not monotonically decreasing
BM,1997,283,1997-10-10,,V,extcoef: Light not monotonically decreasing
BM,1997,295,1997-10-22,0.488,,
BM,1997,316,1997-11-12,0.407,,
BM,1998,15,1998-01-15,,V,extcoef: Insufficient light data
BM,1998,50,1998-02-19,0.225,,
BM,1998,78,1998-03-19,0.606,,
BM,1998,113,1998-04-23,0.311,,
BM,1998,124,1998-05-04,0.285,,
BM,1998,138,1998-05-18,0.269,,
BM,1998,153,1998-06-02,0.278,,
BM,1998,169,1998-06-18,0.308,,
BM,1998,181,1998-06-30,0.321,,
BM,1998,194,1998-07-13,0.334,,
BM,1998,209,1998-07-28,0.333,,
BM,1998,223,1998-08-11,0.344,,
BM,1998,236,1998-08-24,0.346,,
BM,1998,251,1998-09-08,0.328,,
BM,1998,264,1998-09-21,0.334,,
BM,1998,278,1998-10-05,0.354,,
BM,1998,293,1998-10-20,0.402,,
BM,1998,306,1998-11-02,0.578,,
BM,1999,15,1999-01-15,,V,extcoef: Insufficient light data
BM,1999,55,1999-02-24,,V,extcoef: Insufficient light data
BM,1999,83,1999-03-24,0.349,,
BM,1999,123,1999-05-03,0.402,,
BM,1999,138,1999-05-18,0.293,,
BM,1999,152,1999-06-01,0.262,,
BM,1999,166,1999-06-15,0.294,,
BM,1999,179,1999-06-28,0.272,,
BM,1999,194,1999-07-13,0.273,,
BM,1999,208,1999-07-27,0.335,,
BM,1999,224,1999-08-12,0.311,,
BM,1999,239,1999-08-27,0.339,,
BM,1999,250,1999-09-07,0.338,,
BM,1999,266,1999-09-23,0.361,,
BM,1999,277,1999-10-04,0.377,,
BM,1999,294,1999-10-21,,V,extcoef: Light not monotonically decreasing
BM,1999,315,1999-11-11,,V,extcoef: No light data
BM,2000,24,2000-01-24,,V,extcoef: Insufficient light data
BM,2000,54,2000-02-23,,V,extcoef: Insufficient light data
BM,2000,96,2000-04-05,0.288,,
BM,2000,109,2000-04-18,0.316,,
BM,2000,123,2000-05-02,0.297,,
BM,2000,136,2000-05-15,0.246,,
BM,2000,151,2000-05-30,0.246,,
BM,2000,167,2000-06-15,0.265,,
BM,2000,178,2000-06-26,0.266,,
BM,2000,192,2000-07-10,0.304,,
BM,2000,206,2000-07-24,0.308,,
BM,2000,220,2000-08-07,0.332,,
BM,2000,237,2000-08-24,0.362,,
BM,2000,251,2000-09-07,0.283,,
BM,2000,264,2000-09-20,0.357,,
BM,2000,277,2000-10-03,0.336,,
BM,2000,290,2000-10-16,0.312,,
BM,2000,306,2000-11-01,0.316,,
BM,2000,319,2000-11-14,0.201,,
BM,2001,18,2001-01-18,,V,extcoef: Light not monotonically decreasing
BM,2001,54,2001-02-23,0.262,,
BM,2001,96,2001-04-06,0.215,,
BM,2001,124,2001-05-04,0.294,,
BM,2001,135,2001-05-15,0.238,,
BM,2001,151,2001-05-31,,V,extcoef: Light not monotonically decreasing
BM,2001,163,2001-06-12,0.216,,
BM,2001,178,2001-06-27,0.29,,
BM,2001,191,2001-07-10,0.285,,
BM,2001,206,2001-07-25,0.328,,
BM,2001,219,2001-08-07,0.319,,
BM,2001,233,2001-08-21,0.315,,
BM,2001,247,2001-09-04,0.322,,
BM,2001,260,2001-09-17,0.284,,
BM,2001,274,2001-10-01,0.307,,
BM,2001,289,2001-10-16,0.37,,
BM,2001,304,2001-10-31,0.357,,
BM,2001,316,2001-11-12,0.287,,
BM,2002,22,2002-01-22,0.156,,
BM,2002,57,2002-02-26,,V,extcoef: Insufficient light data
BM,2002,106,2002-04-16,0.219,,
BM,2002,114,2002-04-24,0.193,,
BM,2002,126,2002-05-06,0.226,,
BM,2002,140,2002-05-20,0.23,,
BM,2002,154,2002-06-03,0.209,,
BM,2002,169,2002-06-18,0.221,,
BM,2002,184,2002-07-03,0.267,,
BM,2002,196,2002-07-15,0.306,,
BM,2002,211,2002-07-30,0.307,,
BM,2002,224,2002-08-12,0.32,,
BM,2002,240,2002-08-28,0.306,,
BM,2002,252,2002-09-09,0.353,,
BM,2002,266,2002-09-23,0.283,,
BM,2002,280,2002-10-07,0.311,,
BM,2002,294,2002-10-21,0.275,,
BM,2002,309,2002-11-05,0.268,,
BM,2003,30,2003-01-30,0.263,,
BM,2003,52,2003-02-21,0.3,,
BM,2003,91,2003-04-01,0.263,,
BM,2003,120,2003-04-30,0.246,,
BM,2003,135,2003-05-15,,V,extcoef: Light not monotonically decreasing
BM,2003,150,2003-05-30,,V,extcoef: No light data
BM,2003,160,2003-06-09,0.249,,
BM,2003,176,2003-06-25,0.275,,
BM,2003,190,2003-07-09,0.288,,
BM,2003,204,2003-07-23,0.281,,
BM,2003,218,2003-08-06,,V,extcoef: Light not monotonically decreasing
BM,2003,231,2003-08-19,0.288,,
BM,2003,245,2003-09-02,0.314,,
BM,2003,260,2003-09-17,0.329,,
BM,2003,275,2003-10-02,0.322,,
BM,2003,286,2003-10-13,0.292,,
BM,2003,302,2003-10-29,0.278,,
BM,2003,314,2003-11-10,0.243,,
BM,2004,26,2004-01-26,,V,extcoef: Insufficient light data
BM,2004,62,2004-03-02,,V,extcoef: No light data
BM,2004,96,2004-04-05,0.231,,
BM,2004,120,2004-04-29,,V,extcoef: No light data
BM,2004,132,2004-05-11,,V,extcoef: No light data
BM,2004,146,2004-05-25,0.245,,
BM,2004,160,2004-06-08,0.247,,
BM,2004,174,2004-06-22,0.246,,
BM,2004,189,2004-07-07,0.276,,
BM,2004,201,2004-07-19,0.299,,
BM,2004,216,2004-08-03,0.316,,
BM,2004,230,2004-08-17,0.299,,
BM,2004,243,2004-08-30,0.305,,
BM,2004,257,2004-09-13,0.311,,
BM,2004,272,2004-09-28,0.303,,
BM,2004,286,2004-10-12,0.294,,
BM,2004,301,2004-10-27,0.245,,
BM,2004,313,2004-11-08,0.326,,
BM,2005,11,2005-01-11,0.38,,
BM,2005,55,2005-02-24,0.288,,
BM,2005,94,2005-04-04,0.248,,
BM,2005,112,2005-04-22,0.356,,
BM,2005,125,2005-05-05,0.31,,
BM,2005,136,2005-05-16,0.284,,
BM,2005,151,2005-05-31,0.237,,
BM,2005,165,2005-06-14,0.257,,
BM,2005,179,2005-06-28,0.282,,
BM,2005,193,2005-07-12,,V,extcoef: Light not monotonically decreasing
BM,2005,207,2005-07-26,0.319,,
BM,2005,222,2005-08-10,0.351,,
BM,2005,235,2005-08-23,,V,extcoef: Light not monotonically decreasing
BM,2005,252,2005-09-09,0.314,,
BM,2005,265,2005-09-22,0.231,,
BM,2005,278,2005-10-05,0.296,,
BM,2005,290,2005-10-17,,V,extcoef: Light not monotonically decreasing
BM,2005,315,2005-11-11,0.267,,
BM,2006,16,2006-01-16,,V,extcoef: Insufficient light data
BM,2006,52,2006-02-21,0.32,,
BM,2006,94,2006-04-04,0.229,,
BM,2006,114,2006-04-24,0.296,,
BM,2006,123,2006-05-03,0.279,,
BM,2006,139,2006-05-19,0.244,,
BM,2006,150,2006-05-30,0.262,,
BM,2006,164,2006-06-13,0.275,,
BM,2006,178,2006-06-27,0.285,,
BM,2006,191,2006-07-10,0.32,,
BM,2006,206,2006-07-25,0.332,,
BM,2006,219,2006-08-07,0.35,,
BM,2006,235,2006-08-23,0.301,,
BM,2006,248,2006-09-05,0.314,,
BM,2006,261,2006-09-18,0.313,,
BM,2006,275,2006-10-02,0.333,,
BM,2006,289,2006-10-16,0.323,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
BM,2006,305,2006-11-01,,V,extcoef: No light data
BM,2007,17,2007-01-17,0.294,,
BM,2007,58,2007-02-27,0.227,,
BM,2007,89,2007-03-30,0.24,,
BM,2007,115,2007-04-25,0.222,,
BM,2007,127,2007-05-07,0.246,,
BM,2007,142,2007-05-22,0.252,,
BM,2007,158,2007-06-07,0.242,,
BM,2007,171,2007-06-20,0.273,,
BM,2007,183,2007-07-02,0.308,,
BM,2007,199,2007-07-18,0.332,,
BM,2007,213,2007-08-01,0.338,,
BM,2007,227,2007-08-15,0.354,,
BM,2007,239,2007-08-27,0.339,,
BM,2007,254,2007-09-11,0.305,,
BM,2007,270,2007-09-27,0.314,,
BM,2007,281,2007-10-08,0.34,,
BM,2007,295,2007-10-22,0.339,,
BM,2007,313,2007-11-09,0.326,,
BM,2008,16,2008-01-16,0.295,,
BM,2008,57,2008-02-26,0.242,,
BM,2008,86,2008-03-26,0.289,,
BM,2008,130,2008-05-09,0.316,,
BM,2008,141,2008-05-20,0.323,,
BM,2008,155,2008-06-03,0.272,,
BM,2008,175,2008-06-23,,V,extcoef: Light not monotonically decreasing
BM,2008,183,2008-07-01,0.282,,
BM,2008,198,2008-07-16,0.342,,
BM,2008,212,2008-07-30,0.368,,
BM,2008,228,2008-08-15,0.373,,
BM,2008,241,2008-08-28,0.278,,
BM,2008,252,2008-09-08,0.309,,
BM,2008,266,2008-09-22,0.332,,
BM,2008,280,2008-10-06,0.31,,
BM,2008,295,2008-10-21,0.363,,
BM,2008,312,2008-11-07,0.312,,
BM,2009,21,2009-01-21,,V,extcoef: No light data
BM,2009,55,2009-02-24,0.222,,
BM,2009,75,2009-03-16,0.236,,
BM,2009,119,2009-04-29,0.245,,
BM,2009,132,2009-05-12,0.219,,
BM,2009,146,2009-05-26,0.272,,
BM,2009,161,2009-06-10,0.253,,
BM,2009,174,2009-06-23,,V,extcoef: Light not monotonically decreasing
BM,2009,188,2009-07-07,0.31,,
BM,2009,201,2009-07-20,0.33,,
BM,2009,216,2009-08-04,0.367,,
BM,2009,229,2009-08-17,0.382,,
BM,2009,244,2009-09-01,0.38,,
BM,2009,257,2009-09-14,0.363,,
BM,2009,264,2009-09-21,,V,extcoef: No light data
BM,2009,272,2009-09-29,0.339,,
BM,2009,285,2009-10-12,0.382,,
BM,2009,299,2009-10-26,0.332,,
BM,2009,314,2009-11-10,0.322,,
BM,2010,18,2010-01-18,0.238,,
BM,2010,43,2010-02-12,0.235,,
BM,2010,103,2010-04-13,0.336,,
BM,2010,123,2010-05-03,0.277,,
BM,2010,130,2010-05-10,0.261,,
BM,2010,145,2010-05-25,0.263,,
BM,2010,158,2010-06-07,0.29,,
BM,2010,175,2010-06-24,0.331,,
BM,2010,190,2010-07-09,0.374,,
BM,2010,201,2010-07-20,0.349,,
BM,2010,214,2010-08-02,0.372,,
BM,2010,229,2010-08-17,0.389,,
BM,2010,242,2010-08-30,0.362,,
BM,2010,258,2010-09-15,0.316,,
BM,2010,270,2010-09-27,0.364,,
BM,2010,287,2010-10-14,0.32,,
BM,2010,302,2010-10-29,0.336,,
BM,2010,315,2010-11-11,0.306,,
BM,2011,14,2011-01-14,0.299,,
BM,2011,47,2011-02-16,0.277,,
BM,2011,81,2011-03-22,0.233,,
BM,2011,125,2011-05-05,0.242,,
BM,2011,137,2011-05-17,0.286,,
BM,2011,151,2011-05-31,0.247,,
BM,2011,165,2011-06-14,,V,extcoef: Light not monotonically decreasing
BM,2011,182,2011-07-01,,V,extcoef: Light not monotonically decreasing
BM,2011,193,2011-07-12,0.332,,
BM,2011,208,2011-07-27,0.316,,
BM,2011,221,2011-08-09,0.334,,
BM,2011,235,2011-08-23,0.284,,
BM,2011,249,2011-09-06,0.379,,
BM,2011,262,2011-09-19,0.352,,
BM,2011,276,2011-10-03,0.34,,
BM,2011,291,2011-10-18,0.37,,
BM,2011,305,2011-11-01,0.333,,
BM,2011,319,2011-11-15,0.353,,
BM,2012,11,2012-01-11,,,
BM,2012,51,2012-02-20,,,
BM,2012,94,2012-04-03,,,
BM,2012,110,2012-04-19,,,
BM,2012,121,2012-04-30,,,
BM,2012,138,2012-05-17,,,
BM,2012,150,2012-05-29,,,
BM,2012,165,2012-06-13,,,
BM,2012,177,2012-06-25,,,
BM,2012,192,2012-07-10,,,
BM,2012,205,2012-07-23,,,
BM,2012,222,2012-08-09,,,
BM,2012,233,2012-08-20,,,
BM,2012,248,2012-09-04,,,
BM,2012,261,2012-09-17,,,
BM,2012,275,2012-10-01,,,
BM,2012,291,2012-10-17,,,
BM,2012,303,2012-10-29,,,
BM,2012,318,2012-11-13,,,
CB,1981,211,1981-07-30,,V,extcoef: Insufficient light data
CB,1981,222,1981-08-10,,V,extcoef: Insufficient light data
CB,1981,239,1981-08-27,2.1,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light. Calc from 2 light values.
CB,1981,253,1981-09-10,,V,extcoef: Insufficient light data
CB,1981,268,1981-09-25,,V,extcoef: Insufficient light data
CB,1981,296,1981-10-23,,V,extcoef: Insufficient light data
CB,1982,18,1982-01-18,,V,extcoef: No light data
CB,1982,53,1982-02-22,,V,extcoef: No light data
CB,1982,97,1982-04-07,,V,extcoef: No light data
CB,1982,133,1982-05-13,4.2,J,extcoef: Calculated from 2 frlight values
CB,1982,144,1982-05-24,,V,extcoef: Light not monotonically decreasing
CB,1982,161,1982-06-10,2.218,,
CB,1982,174,1982-06-23,0.972,,
CB,1982,187,1982-07-06,,V,extcoef: Insufficient light data
CB,1982,203,1982-07-22,,V,extcoef: No light data
CB,1982,216,1982-08-04,,V,extcoef: No light data
CB,1982,231,1982-08-19,2.578,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
CB,1982,250,1982-09-07,2.804,,
CB,1982,265,1982-09-22,,V,extcoef: No light data
CB,1982,279,1982-10-06,2.356,,
CB,1982,295,1982-10-22,2.835,,
CB,1982,315,1982-11-11,,V,extcoef: Insufficient light data
CB,1982,335,1982-12-01,,V,extcoef: No light data
CB,1983,11,1983-01-11,,V,extcoef: No light data
CB,1983,54,1983-02-23,,V,extcoef: No light data
CB,1983,84,1983-03-25,,V,extcoef: No light data
CB,1983,132,1983-05-12,2.98,,
CB,1983,146,1983-05-26,2.339,J,extcoef: Calculated from 2 frlight values
CB,1983,158,1983-06-07,,V,extcoef: Insufficient light data
CB,1983,174,1983-06-23,2.67,J,extcoef: Calculated from 2 frlight values
CB,1983,188,1983-07-07,2.61,J,extcoef: Calculated from 2 frlight values
CB,1983,200,1983-07-19,2.269,J,extcoef: Calculated from 2 frlight values
CB,1983,213,1983-08-01,,V,extcoef: Insufficient light data
CB,1983,230,1983-08-18,1.989,J,extcoef: Calculated from 2 frlight values
CB,1983,250,1983-09-07,1.667,J,extcoef: Calculated from 2 frlight values
CB,1983,272,1983-09-29,1.609,J,extcoef: Calculated from 2 frlight values
CB,1983,291,1983-10-18,,V,extcoef: Insufficient light data
CB,1983,320,1983-11-16,,V,extcoef: No light data
CB,1984,5,1984-01-05,,V,extcoef: No light data
CB,1984,51,1984-02-20,,V,extcoef: No light data
CB,1984,100,1984-04-09,,V,extcoef: No light data
CB,1984,131,1984-05-10,1.828,J,extcoef: Calculated from 2 frlight values
CB,1984,145,1984-05-24,,V,extcoef: No light data
CB,1984,157,1984-06-05,2.157,J,extcoef: Calculated from 2 frlight values
CB,1984,170,1984-06-18,0.722,J,extcoef: Calculated from 2 frlight values
CB,1984,186,1984-07-04,3.287,J,extcoef: Calculated from 2 frlight values
CB,1984,200,1984-07-18,1.776,J,extcoef: Calculated from 2 frlight values
CB,1984,213,1984-07-31,1.43,J,extcoef: Calculated from 2 frlight values
CB,1984,229,1984-08-16,1.552,J,extcoef: Calculated from 2 frlight values
CB,1984,250,1984-09-06,1.522,J,extcoef: Calculated from 2 frlight values
CB,1984,268,1984-09-24,,V,extcoef: Insufficient light data
CB,1984,291,1984-10-17,1.281,J,extcoef: Calculated from 2 frlight values
CB,1984,310,1984-11-05,0.858,J,extcoef: Calculated from 2 frlight values
CB,1985,15,1985-01-15,,V,extcoef: Insufficient light data
CB,1985,57,1985-02-26,2.064,J,extcoef: Calculated from 2 frlight values
CB,1985,85,1985-03-26,2.213,,
CB,1985,122,1985-05-02,1.891,J,extcoef: Calculated from 2 frlight values
CB,1985,134,1985-05-14,2.171,J,extcoef: Calculated from 2 frlight values
CB,1985,150,1985-05-30,2.226,J,extcoef: Calculated from 2 frlight values
CB,1985,161,1985-06-10,1.894,J,extcoef: Calculated from 2 frlight values
CB,1985,176,1985-06-25,2.282,J,extcoef: Calculated from 2 frlight values
CB,1985,191,1985-07-10,,V,extcoef: Insufficient light data
